SORT ORDER FROM VOR DATA (earlier spreadsheets),Date,Stimulus,Clutch,AgeBlock,AgeDays,Block,Individual,StimulusTime,EndStimulusTime,StimHour,StimMin,StimTime,Response,NumH,HatchHour,HatchMin,HatchTime,TtoHhours,TtoH,HatchAge,timefirstH,HsinceH,AmpR,R2,AmpL,R2,AverageR2,Average Amp,YintRight,YintLeft,DiffRandL,"Picture Number/VORseries (WhiteSJKknownmatch,GreenJJfromsortedfolders)",JJPic#s,AlinaPic#s,"Rupture (0 delay, 1 failure)",RuptureTime,Notes,PhotoSeries,Image#(face),TadImage,TadLength,SUM of trait values,,NumH(repeat),Mean length,Stage (mean)
94,20150811,H,259,90,3,18,8,17:56_18:01,18:41_18:43,17,56,17.93,Hatched,NA,18,15,18.25,0.32,19.2,90.25,94,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7280,733,8.835,2,,NA,,
95,20150811,H,259,93,3,21,9,20:55_21:01,NA,20,55,20.92,Hatched,2,21,15,21.25,0.33,19.8,93.25,94,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7469,849,8.613,2,,2,8.82,2.5
96,20150811,H,259,93,3,21,10,20:55_21:01,NA,20,55,20.92,Hatched,NA,21,16,21.27,0.35,21,93.26666667,94,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,7470,851,9.027,3,,NA,,
97,20150811,T,259,93,3,21,1,,,21,56,21.93,Not Hatched,1,NA,NA,NA,NA,NA,NA,94,-1,7.350773022,0.424492919,4.481989239,0.123258769,0.273875844,5.916381131,-1.21E+01,1.09E+01,-22.9889467,7562-7589,7562-7589,7562-7589,,,,,,857,9.094,3,,1,9.113,3
98,20150811,T,259,93,3,21,2,,,21,56,21.93,Hatched,1,22,0,22,0.07,4.2,94,94,-1,11.0000063,0.362168405,4.254951417,0.028671463,0.195419934,7.62747886,-1.52E+01,1.03E+01,-25.53412,7590-7643,7590-7643,7590-7643,,,,,,859,9.132,3,,NA,,
99,20150812,T,259,96,4,0,3,,,0,51,0.85,Not Hatched,0,NA,NA,NA,NA,NA,NA,94,2,7.914565089,0.773735381,7.902803647,0.521589028,0.647662204,7.908684368,-5.73E+00,5.50E-01,-6.284319857,7996-8024,7996-8024,7996-8024,,,,,,939,9.67,3,,0,9.381,3
100,20150812,T,259,96,4,0,4,,,0,51,0.85,Not Hatched,NA,NA,NA,NA,NA,NA,NA,94,2,5.643156592,0.263747583,5.999421998,0.373666312,0.318706947,5.821289295,-1.20E+01,7.71E+00,-19.68957139,8025-8052,8025-8052,8025-8053,,,,,,941,9.092,3,,NA,,
101,20150812,T,259,99,4,3,5,,,3,31,3.52,Hatched,2,3,33,3.55,0.03,1.8,99.55,94,5,20.65892895,0.880965795,19.24556176,0.880828776,0.880897285,19.95224535,-1.31E+01,1.20E+01,-25.0524496,8358-8384,8358-8384,8358-8384,,,,,,963,9.599,5,,2,9.442,5
102,20150812,T,259,99,4,3,6,,,3,31,3.52,Hatched,NA,3,34,3.57,0.05,3,99.56666667,94,5,19.10362381,0.91751616,19.94087037,0.864618271,0.891067216,19.52224709,-2.75E+00,4.08E+00,-6.82929826,8385-8411,8385-8411,8385-8411,,,,,,965,9.285,5,,NA,,
103,20150812,T,259,102,4,6,7,,,6,21,6.35,Hatched,2,6,25,6.42,0.07,4.2,102.4166667,94,8,21.24433499,0.896589158,25.11959676,0.912883541,0.90473635,23.18196588,-7.92E+00,4.21E+00,-12.13340871,8533-8563,,,,,,,,1015,9.838,5,,2,9.963,5
104,20150812,T,259,102,4,6,8,,,6,21,6.35,Hatched,NA,6,26,6.43,0.08,4.8,102.4333333,94,8,22.31642708,0.873857513,22.93516824,0.883407661,0.878632587,22.62579766,-5.89E+00,6.11E+00,-11.99664805,8564-8608,,,,,,,,1017,10.088,5,,NA,,
105,20150812,H,262,78,3,6,1,06:04_06:05,6:44_6:47,6,4,6.07,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.36666667,-18.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8610,1061,7.804,2,,0,7.8915,2
106,20150812,H,262,78,3,6,2,06:04_06:05,6:44_6:47,6,4,6.07,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.36666667,-18.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8612,1063,7.979,2,,NA,,
107,20150812,H,262,81,3,9,3,9:00_9:02,9:40_,9,0,9,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.36666667,-15.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1141,7.727,1,,0,8.3505,1.5
108,20150812,H,262,81,3,9,4,9:00_9:02,9:40_,9,0,9,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.36666667,-15.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1143,8.974,2,,NA,,
109,20150812,H,262,84,3,12,5,11:55_11:57,12:35_,11,55,11.92,Hatched,1,12,26,12.43,0.51,30.6,84.43333333,96.36666667,-12.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,0,12:22,Hatched,,,1214,9.021,2,,1,8.7765,2
110,20150812,H,262,84,3,12,6,11:55_11:57,12:35_,11,55,11.92,Not Hatched,1,NA,NA,NA,NA,NA,NA,96.36666667,-12.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1216,8.532,2,,NA,,
111,20150812,H,262,87,3,15,7,15:02_15:03,15:42_,15,2,15.03,Hatched,2,15,26,15.43,0.4,24,87.43333333,96.36666667,-9.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8892,1311,9.115,3,,2,8.741,2.5
112,20150812,H,262,87,3,15,8,15:02_15:03,15:42_,15,2,15.03,Hatched,NA,15,21,15.35,0.32,19.2,87.35,96.36666667,-9.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8893,1313,8.367,2,,NA,,
113,20150812,T,262,87,3,15,1,,,15,34,15.57,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.36666667,-9.36666667,33.5716094,0.941914405,28.33507672,0.739058923,0.840486664,30.95334306,-1.15E+00,5.30E+00,-6.44857604,,8955-8981,,,,,,,1321,8.829,3,,0,8.9575,3
114,20150812,T,262,87,3,15,2,,,15,34,15.57,Not Hatched,NA,15,40,15.66666667,0.096666667,5.80000002,75.66666667,96.36666667,-9.36666667,5.860070984,0.288962162,3.945863917,0.001212406,0.145087284,4.90296745,-7.85E+00,1.09E+01,-18.74366219,,8982-9008,,,,,,,1323,9.086,3,,NA,,
115,20150812,H,262,90,3,18,9,18:05_18:07,NA,18,5,18.08,Hatched,2,18,29,18.48,0.4,24,90.48333333,96.36666667,-6.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,9191,1390,10.106,3,,2,9.8285,3
116,20150812,H,262,90,3,18,10,18:05_18:07,NA,18,5,18.08,Hatched,NA,18,29,18.48,0.4,24,90.48333333,96.36666667,-6.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,9192,1392,9.551,3,,NA,,
117,20150812,T,262,90,3,18,3,,,18,24,18.4,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.36666667,-6.36666667,1.998579475,0.088009511,3.543916517,0.126480586,0.107245048,2.771247996,-7.21E+00,8.92E+00,-16.12942042,,,,,,,,,1394,9.456,3,,0,9.3485,3
118,20150812,T,262,90,3,18,4,,,18,24,18.4,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.36666667,-6.36666667,11.55336798,0.666149678,15.75267002,0.551880425,0.609015052,13.653019,-4.41E+00,5.46E+00,-9.86368802,,,,,,,,,1396,9.241,3,,NA,,
119,20150812,T,262,93,3,21,5,,,21,30,21.5,Not Hatched,0,NA,NA,NA,NA,NA,NA,96.36666667,-3.36666667,9.278692887,0.830851485,14.11881368,0.773894583,0.802373034,11.69875328,-9.86E+00,1.11E+00,-10.9676856,9543-9571,,,,,,,,1567,9.566,4,,0,9.5985,4
120,20150812,T,262,93,3,21,6,,,21,30,21.5,Not Hatched,NA,NA,NA,NA,NA,NA,NA,96.36666667,-3.36666667,3.502131608,0.413339065,3.625275393,0.425452098,0.419395582,3.563703501,-1.59E+01,1.12E+00,-17.03953277,9572-9601,,,,,,,,1569,9.631,4,,NA,,
121,20150812,T,262,96,4,0,7,,,0,18,0.3,Hatched,1,0,22,0.37,0.07,4.2,96.36666667,96.36666667,-0.36666667,12.33560074,0.642782873,15.12982549,0.754742237,0.698762555,13.73271311,-1.68E+00,1.18E+00,-2.86042519,9840-9867,,9840-9867,,,,,,1633,10.024,5,,1,9.912,5.5
122,20150812,T,262,96,4,0,8,,,0,18,0.3,Not Hatched,1,NA,NA,NA,NA,NA,NA,96.36666667,-0.36666667,9.112119039,0.774503025,10.65070342,0.573796919,0.674149972,9.881411229,-3.16E+00,5.47E+00,-8.62259129,9868-9894,,,,,,,,1635,9.8,6,,NA,,
123,20150812,T,262,99,4,3,9,,,3,24,3.4,Hatched,2,3,25,3.42,0.02,1.2,99.41666667,96.36666667,2.63333333,18.57895981,0.8739562,26.85309785,0.735771725,0.804863962,22.71602883,-4.76E+00,6.32E+00,-11.08091578,0118-0146,,,,,,,,1655,10.038,6,,2,9.9975,6
124,20150812,T,262,99,4,3,10,,,3,24,3.4,Hatched,NA,3,25,3.42,0.02,1.2,99.41666667,96.36666667,2.63333333,26.76047078,0.64653011,33.207724,0.724629993,0.685580052,29.98409739,-3.32E-01,-3.32E-01,-0.000213502,0148-0178,,0148-0178,,,,,,1657,9.957,6,,NA,,
125,20150812,T,262,102,4,6,11,,,6,8,6.133333333,Hatched,1,6,9,6.15,0.016666667,1.00000002,102.15,96.36666667,5.63333333,35.97353605,0.948171859,31.57179194,0.895483726,0.921827793,33.772664,-9.86E-01,-1.52E+00,0.535937087,0296-0328,,0296-0328,,,,,,1697,10.423,6,,1,9.682,6
126,20150812,T,262,102,4,6,12,,,6,8,6.133333333,Not Hatched,1,NA,NA,NA,NA,NA,NA,96.36666667,5.63333333,22.52894003,0.87456928,23.57976014,0.636629996,0.755599638,23.05435009,-3.93E+00,2.73E+00,-6.65430044,0329-0355,,0329-0355,,,,,,1699,8.941,6,,NA,,
127,20150812,T,262,105,4,9,13,,,9,3,9.05,Hatched,1,9,3,9.05,0,0.083333333,105.05,96.36666667,8.63333333,30.57305697,0.843445353,28.03715692,0.763264312,0.803354833,29.30510695,-9.84E-01,4.82E+00,-5.804185577,0413-0441,,0413-0441,,,,,,1750,10.411,6,,1,10.225,6
128,20150812,T,262,105,4,9,14,,,9,3,9.05,Not Hatched,1,NA,NA,NA,NA,NA,NA,96.36666667,8.63333333,36.50349175,0.959493566,29.08190567,0.843888081,0.901690824,32.79269871,4.63E+00,1.62E+00,3.01020468,0442-0483,,0442-0483,,,,,,1752,10.039,6,,NA,,
129,20150812,T,262,108,4,12,15,,,12,0,12,Not Hatched,1,NA,NA,NA,NA,NA,NA,96.36666667,11.63333333,20.85253202,0.839244461,21.29559946,0.848775765,0.844010113,21.07406574,-4.29E+00,4.42E+00,-8.71760273,0550-0597,,,,,,,,1817,10.462,6,,1,10.639,6.5
130,20150812,T,262,108,4,12,16,,,12,0,12,Hatched,1,12,2,12.03,0.03,1.8,108.0333333,96.36666667,11.63333333,39.82321427,NA,30.0794174,NA,NA,34.95131583,-4.85E+00,5.14E+00,-9.99068171,0598-0626,,,,,,,,1819,10.816,7,,NA,,
131,20150812,T,262,111,4,15,17,,,15,0,15,Hatched,2,15,2,15.03,0.03,1.8,111.0333333,96.36666667,14.63333333,32.64634047,0.942057454,32.09908126,0.913363693,0.927710573,32.37271086,1.70E+00,-4.55E+00,6.24449415,,,,,,,,,1885,10.959,7,,2,10.783,7
132,20150812,T,262,111,4,15,18,,,15,0,15,Hatched,NA,15,0,15,0,0.083333333,111,96.36666667,14.63333333,36.6804369,0.977060408,41.34923714,0.959347115,0.968203761,39.01483702,-3.09E-01,-4.10E+00,3.790411788,,,,,,HSU,,,1887,10.607,7,,NA,,
133,20150812,H,263,78,3,6,1,06:04_06:05,6:44_6:47,6,4,6.07,Not Hatched,0,NA,NA,NA,NA,NA,NA,93.23333333,-15.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8613,1065,8.426,2,,0,8.4645,2
134,20150812,H,263,78,3,6,2,06:04_06:05,6:44_6:47,6,4,6.07,Not Hatched,NA,NA,NA,NA,NA,NA,NA,93.23333333,-15.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8614,1067,8.503,2,,NA,,
135,20150812,H,263,81,3,9,3,9:00_9:02,9:40_,9,0,9,Not Hatched,1,NA,NA,NA,NA,NA,NA,93.23333333,-12.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1145,8.501,2,,1,8.4835,2
136,20150812,H,263,81,3,9,4,9:00_9:02,9:40_,9,0,9,Hatched,1,9,23,9.38,0.38,22.8,81.38333333,93.23333333,-12.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1147,8.466,2,,NA,,
137,20150812,H,263,84,3,12,5,11:55_11:57,12:35_,11,55,11.92,Not Hatched,0,NA,NA,NA,NA,NA,NA,93.23333333,-9.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1218,9.12,2,,0,9.042,2
138,20150812,H,263,84,3,12,6,11:55_11:57,12:35_,11,55,11.92,Not Hatched,NA,NA,NA,NA,NA,NA,NA,93.23333333,-9.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1220,8.964,2,,NA,,
141,20150812,H,263,87,3,15,7,15:02_15:03,15:42_,15,2,15.03,Not Hatched,1,NA,NA,NA,NA,NA,NA,93.23333333,-6.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8894,1315,9.443,2,,1,9.2955,2
142,20150812,H,263,87,3,15,8,15:02_15:03,15:42_,15,2,15.03,Hatched,1,15,22,15.37,0.34,20.4,87.36666667,93.23333333,-6.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8895,1317,9.148,2,,NA,,
139,20150812,T,263,87,3,15,1,,,15,20,15.33,Not Hatched,0,NA,NA,NA,NA,NA,NA,93.23333333,-6.23333333,6.635493085,0.301787015,4.790445571,0.337962103,0.319874559,5.712969328,-1.09E+01,4.00E+00,-14.89090283,8819-8846,,,,,,,,1294,8.953,3,,0,9.045,3
140,20150812,T,263,87,3,15,2,,,15,20,15.33,Not Hatched,NA,NA,NA,NA,NA,NA,NA,93.23333333,-6.23333333,3.843034189,0.136372864,1.923940785,-0.083948991,0.026211937,2.883487487,-6.61E+00,7.54E+00,-14.15837677,,,,,,,,,1296,9.137,3,,NA,,
145,20150812,H,263,90,3,18,9,18:05_18:07,NA,18,5,18.08,Hatched,2,18,24,18.4,0.32,19.2,90.4,93.23333333,-3.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,9193,1398,10.059,4,,2,9.8345,4
146,20150812,H,263,90,3,18,10,18:05_18:07,NA,18,5,18.08,Hatched,NA,18,28,18.47,0.39,23.4,90.46666667,93.23333333,-3.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,9194,1400,9.61,4,,NA,,
143,20150812,T,263,90,3,18,3,,,18,13,18.22,Not Hatched,0,NA,NA,NA,NA,NA,NA,93.23333333,-3.23333333,0.754114497,0.013999211,2.990033508,0.132703055,0.073351133,1.872074003,-5.55E+00,1.45E+00,-7.00085012,9067-9093,,,,,,,,1362,8.767,4,,0,9.239,4
144,20150812,T,263,90,3,18,4,,,18,13,18.22,Not Hatched,NA,NA,NA,NA,NA,NA,NA,93.23333333,-3.23333333,2.279971008,0.19624222,3.439083433,0.038912978,0.117577599,2.859527221,-2.26E+00,2.53E+00,-4.78774664,9095-9122,,,,,,,,1364,9.711,4,,NA,,
149,20150812,H,263,93,3,21,11,20:58_21:00,NA,20,58,20.97,Hatched,2,21,11,21.18,0.21,12.6,93.18333333,93.23333333,-0.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,9539,1548,9.718,4,,2,9.7835,4
150,20150812,H,263,93,3,21,12,20:58_21:00,NA,20,58,20.97,Hatched,NA,21,21,21.35,0.38,22.8,93.35,93.23333333,-0.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,9542,1550,9.849,4,,NA,,
147,20150812,T,263,93,3,21,5,,,21,12,21.2,Hatched,1,21,14,21.23,0.03,1.8,93.23333333,93.23333333,-0.23333333,3.920429591,0.605355933,8.066933823,0.61001011,0.607683022,5.993681707,2.88E+00,3.20E+00,-0.32298428,9480-9509,,,,,,,,1543,10.177,6,,1,9.8965,6
148,20150812,T,263,93,3,21,6,,,21,12,21.2,Not Hatched,1,NA,NA,NA,NA,NA,NA,93.23333333,-0.23333333,8.784231634,0.607928407,5.736929965,0.434144035,0.521036221,7.260580799,-2.63E+00,9.29E-01,-3.555237497,9510-9538,,,,,,,,1545,9.616,6,,NA,,
151,20150812,T,263,96,4,0,7,,,0,9,0.15,Hatched,2,0,10,0.17,0.02,1.2,96.16666667,93.23333333,2.76666667,24.51542061,0.868956361,24.89359622,0.934137335,0.901546848,24.70450842,-3.48E+00,-9.45E-01,-2.532982599,9785-9811,,,,,,,,1622,10.112,6,,2,10.2075,6
152,20150812,T,263,96,4,0,8,,,0,9,0.15,Hatched,NA,0,13,0.22,0.07,4.2,96.21666667,93.23333333,2.76666667,9.384005531,0.814416137,7.778282937,0.676747711,0.745581924,8.581144234,-1.25E+00,4.10E-01,-1.6625244,9812-9839,,,,,,,,1624,10.303,6,,NA,,
153,20150813,T,263,99,4,3,9,,,3,13,3.22,Not Hatched,1,NA,NA,NA,NA,NA,NA,93.23333333,5.76666667,23.23094299,0.948614854,11.30134718,0.613028516,0.780821685,17.26614509,1.24E+00,4.20E+00,-2.95833051,0060-0089,,,,,,,,1651,10.111,6,,1,10.3515,6
154,20150813,T,263,99,4,3,10,,,3,13,3.22,Hatched,1,3,15,3.25,0.03,1.8,99.25,93.23333333,5.76666667,15.71814753,0.853993192,13.30948947,0.838470123,0.846231657,14.5138185,2.28E+00,-1.48E+00,3.75517126,0090-0117,,,,,,,,1653,10.592,6,,NA,,
155,20150813,T,263,102,4,6,11,,,6,1,6.016666667,Hatched,2,6,1,6.016666667,0,0.083333333,108.016667,93.23333333,8.76666667,20.21106323,0.880467314,20.25691872,0.848524408,0.864495861,20.23399098,-2.91E+00,-2.12E+00,-0.7986008,,,,,,,,,1665,10.968,6,,2,10.999,6
156,20150813,T,263,102,4,6,12,,,6,1,6.016666667,Hatched,NA,6,1,6.016666667,0,0.083333333,108.016667,93.23333333,8.76666667,24.30366658,0.917267729,27.32099403,0.912333199,0.914800464,25.81233031,-1.64E+00,4.81E+00,-6.45562068,,,,,,,,,1667,11.03,6,,NA,,
157,20150812,H,264,78,3,6,1,06:04_06:05,6:44_6:47,6,4,6.07,Hatched,1,6,21,6.35,0.28,16.8,78.35,84.07,-6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8616,1069,7.863,1,,1,8.0575,1
158,20150812,H,264,78,3,6,2,06:04_06:05,6:44_6:47,6,4,6.07,Not Hatched,1,NA,NA,NA,NA,NA,NA,84.07,-6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1,6:25,Rescued,SJK_70D,8618,1071,8.252,1,,NA,,
159,20150812,H,264,81,3,9,3,9:00_9:02,9:40_,9,0,9,Not Hatched,1,NA,NA,NA,NA,NA,NA,84.07,-3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1154,8.219,2,,1,8.3345,2
160,20150812,H,264,81,3,9,4,9:00_9:02,9:40_,9,0,9,Hatched,1,9,16,9.27,0.27,16.2,81.26666667,84.07,-3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1156,8.45,2,,NA,,
161,20150812,T,264,81,3,9,1,,,9,20,9.333333333,Not Hatched,0,NA,NA,NA,NA,NA,NA,84.07,-3.07,2.889207456,0.058627875,3.480394217,-0.030241335,0.01419327,3.184800837,-9.32E+00,1.88E+00,-1.12E+01,,,8744-8773,,,,,,I think there are no photos,NA,NA,,0,8.3345,2
162,20150812,T,264,81,3,9,2,,,9,20,9.333333333,Not Hatched,NA,NA,NA,NA,NA,NA,NA,84.07,-3.07,3.517668892,0.168256438,2.539229569,-0.042413098,0.06292167,3.02844923,-5.56E+00,2.46E+00,-8.01E+00,,,8774-8802,,,,,,I think there are no photos,NA,NA,,NA,,
163,20150812,H,264,84,3,12,5,11:55_11:57,12:35_,11,55,11.91666667,Hatched,1,12,13,12.22,0.3,18,84.21666667,84.07,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1223,9.015,2,,1,9.001,2
164,20150812,H,264,84,3,12,6,11:55_11:57,12:35_,11,55,11.91666667,Not Hatched,1,NA,NA,NA,NA,NA,NA,84.07,-0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1225,8.987,2,,NA,,
165,20150812,T,264,84,3,12,3,,,11,59,11.98333333,Hatched,1,12,3,12.05,0.066666667,4.00000002,84.06666667,84.07,-0.07,3.022394121,0.236518515,4.644563079,0.341688166,0.289103341,3.8334786,-5.49E+00,5.78E+00,-1.13E+01,,,9009-9037,,,,,,1210,8.852,3,,1,8.397,2.5
166,20150812,T,264,84,3,12,4,,,11,59,11.98333333,Not Hatched,1,NA,NA,NA,NA,NA,NA,84.07,-0.07,2.97619808,0.153117863,3.208851755,0.056538341,0.104828102,3.092524917,-3.19E+00,7.23E+00,-1.04E+01,,,9038-9066,,,,,,1212,7.942,2,,NA,,
169,20150812,H,264,87,3,15,7,15:02_15:03,15:42_,15,2,15.03,Hatched,2,15,15,15.25,0.22,13.2,87.25,84.07,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8885,1299,9.189,3,,2,9.256,3
170,20150812,H,264,87,3,15,8,15:02_15:03,15:42_,15,2,15.03,Hatched,NA,15,20,15.33,0.3,18,87.33333333,84.07,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8887,1301,9.323,3,,NA,,
167,20150812,T,264,87,3,15,5,,,15,3,15.05,Not Hatched,0,NA,NA,NA,NA,NA,NA,84.07,2.93,2.889207456,0.058627875,3.480394217,-0.030241335,0.01419327,3.184800837,-9.32E+00,1.88E+00,-11.20031182,8744-8773,,9421-9450,,,,,,1272,8.805,3,,0,8.8445,2.5
168,20150812,T,264,87,3,15,6,,,15,3,15.05,Not Hatched,NA,NA,NA,NA,NA,NA,NA,84.07,2.93,3.517668892,0.168256438,2.539229569,-0.042413098,0.06292167,3.02844923,-5.56E+00,2.46E+00,-8.01187828,8774-8802,,9452-9479,,,,,,1274,8.884,2,,NA,,
173,20150812,H,264,90,3,18,9,18:05_18:07,NA,18,5,18.08,Hatched,2,18,24,18.4,0.32,19.2,90.4,84.07,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1402,9.681,3,,2,9.4565,3
174,20150812,H,264,90,3,18,10,18:05_18:07,NA,18,5,18.08,Hatched,NA,18,18,18.3,0.22,13.2,90.3,84.07,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1404,9.232,3,,NA,,
171,20150812,T,264,90,3,18,7,,,18,2,18.03,Hatched,1,18,6,18.1,0.07,4.2,90.1,84.07,5.93,4.597441572,0.165077686,5.987898907,0.32626604,0.245671863,5.29267024,-4.27E+00,6.69E+00,-10.96521002,9009-9037,,9715-9757,,,,,,1329,9.465,3,,1,9.232,3
172,20150812,T,264,90,3,18,8,,,18,2,18.03,Not Hatched,1,NA,NA,NA,NA,NA,NA,84.07,5.93,2.97619808,0.153117863,3.208851755,0.056538341,0.104828102,3.092524917,-3.19E+00,7.23E+00,-10.41740949,9038-9066,,9758-9784,,,,,,1331,8.999,3,,NA,,
175,20150812,T,264,93,3,21,9,,,21,0,21,Not Hatched,0,NA,NA,NA,NA,NA,NA,84.07,8.93,2.631982757,0.139082957,4.834218975,0.392679119,0.265881038,3.733100866,-4.57E+00,2.79E+00,-7.35575427,9421-9450,,0004-0032,0,18:19,Hatched,SJK_70D,9195,1505,9.844,3,,0,9.8235,4
176,20150812,T,264,93,3,21,10,,,21,0,21,Not Hatched,NA,NA,NA,NA,NA,NA,NA,84.07,8.93,6.554218313,0.187334192,3.988154902,-0.04895583,0.069189181,5.271186608,-5.74E+00,2.29E+00,-8.03235374,9452-9479,,0033-0059,,,,SJK_70D,9196,1507,9.803,5,,NA,,
177,20150813,T,264,96,4,0,11,,,0,0,0,Hatched,2,0,3,0.05,0.05,3,96.05,84.07,11.93,10.9854987,0.51790931,13.43423739,0.752849034,0.635379172,12.20986805,-2.78E-01,1.46E+00,-1.732826105,9715-9757,,,,,,,,1582,9.876,5,,2,9.904,5.5
178,20150813,T,264,96,4,0,12,,,0,0,0,Hatched,NA,0,3,0.05,0.05,3,96.05,84.07,11.93,10.9854987,0.51790931,13.43423739,0.752849034,0.635379172,12.20986805,-2.78E-01,1.46E+00,-1.732826105,9758-9784,,,,,,,,1584,9.932,6,,NA,,
179,20150813,T,264,99,4,3,13,,,3,2,3.033333333,Hatched,2,3,4,3.066666667,0.033333334,2.00000004,102.0666667,84.07,14.93,20.66037599,0.878359197,21.04260875,0.721709664,0.80003443,20.85149237,-3.31E+00,4.42E+00,-7.73149659,0004-0032,,,,,,,,1647,10.535,6,,2,10.368,6
180,20150813,T,264,99,4,3,14,,,3,2,3.033333333,Hatched,NA,3,3,3.05,0.016666667,1.00000002,102.05,84.07,14.93,26.92349066,0.655277563,32.69077568,0.66867578,0.661976672,29.80713317,-7.15E-01,6.86E-01,-1.400200646,0033-0059,,,,,,,,1649,10.201,6,,NA,,
181,20150812,H,265,78,3,6,1,06:04_06:05,6:44_6:47,6,4,6.07,Not Hatched,0,NA,NA,NA,NA,NA,NA,90.63333333,-12.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8621,1073,7.659,1,,0,7.6325,1
182,20150812,H,265,78,3,6,2,06:04_06:05,6:44_6:47,6,4,6.07,Not Hatched,NA,NA,NA,NA,NA,NA,NA,90.63333333,-12.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,SJK_70D,8623,1075,7.606,1,,NA,,
183,20150812,H,265,81,3,9,3,9:00_9:02,9:40_,9,0,9,Not Hatched,0,NA,NA,NA,NA,NA,NA,90.63333333,-9.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1149,8.491,2,,0,8.3345,2
184,20150812,H,265,81,3,9,4,9:00_9:02,9:40_,9,0,9,Not Hatched,NA,NA,NA,NA,NA,NA,NA,90.63333333,-9.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1152,8.178,2,,NA,,
185,20150812,H,265,84,3,12,5,11:55_11:57,12:35_,11,55,11.92,Not Hatched,0,NA,NA,NA,NA,NA,NA,90.63333333,-6.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,1,12:23,Rescued,,,1227,8.971,2,,0,8.976,2
186,20150812,H,265,84,3,12,6,11:55_11:57,12:35_,11,55,11.92,Not Hatched,NA,NA,NA,NA,NA,NA,NA,90.63333333,-6.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1229,8.981,2,,NA,,
